id,titulo,descripcion,tecnica,medidas,anio,imagenes,orden,created_at,categoria,serie,price,is_available,show_price
17,todo es un ejercicio,,oleo pastel sobre tabla,100 x 74,2023,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/todo-es-un-ejercicio-1758993301832-202307111430402.jpg"",""path"":""images/todo-es-un-ejercicio-1758993301832-202307111430402.jpg"",""originalName"":""20230711_143040~2.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/todo-es-un-ejercicio-1758993303771-202307111430462.jpg"",""path"":""images/todo-es-un-ejercicio-1758993303771-202307111430462.jpg"",""originalName"":""20230711_143046~2.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/todo-es-un-ejercicio-1758993305084-202307111430532.jpg"",""path"":""images/todo-es-un-ejercicio-1758993305084-202307111430532.jpg"",""originalName"":""20230711_143053~2.jpg""}]",39,2025-09-27 17:15:06.620978+00,pintura,personajes,,false,false
18,tanque de agua playa union,,acuarela sobre papel acuarela 300 g,A4,2024,"[{""name"":""undefined"",""path"":""images/tanque-de-agua-playa-union-1758993465755-20221230170424.jpg""},{""name"":""undefined"",""path"":""images/tanque-de-agua-playa-union-1758993459932-202212301653292.jpg""},{""name"":""undefined"",""path"":""images/tanque-de-agua-playa-union-1758993462189-202212301653352.jpg""},{""name"":""undefined"",""path"":""images/tanque-de-agua-playa-union-1758993463238-20221230165351.jpg""},{""name"":""undefined"",""path"":""images/tanque-de-agua-playa-union-1758993464804-20221230165400.jpg""}]",40,2025-09-27 17:17:46.711788+00,dibujo,urbano,,false,false
19,Nos quedan pocas cosas,,tinta marcadores y acuarela sobre papel 270 g,24 x 32 cm,2023,"[{""name"":""undefined"",""path"":""images/nos-quedan-pocas-cosas-1758994819086-construcciondani.jpg""},{""name"":""undefined"",""path"":""images/nos-quedan-pocas-cosas-1758994813787-202303141905583.jpg""},{""name"":""undefined"",""path"":""images/nos-quedan-pocas-cosas-1758994816082-202303141906142.jpg""},{""name"":""undefined"",""path"":""images/nos-quedan-pocas-cosas-1758994817903-202303141906402.jpg""}]",41,2025-09-27 17:40:20.809694+00,dibujo,urbano,,false,false
20,Paisaje,,acrílico sobre madera,20 x 30 cm,2023,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/paisaje-1758995067391-20230203095405.jpg"",""path"":""images/paisaje-1758995067391-20230203095405.jpg"",""originalName"":""20230203_095405.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/paisaje-1758995069673-202302030954192.jpg"",""path"":""images/paisaje-1758995069673-202302030954192.jpg"",""originalName"":""20230203_095419~2.jpg""}]",42,2025-09-27 17:44:31.246044+00,pintura,paisajes,,false,false
21,Mandarina,,oleo sobre papel hecho a mano,16 x 13 cm,2020,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/mandarina-1758995193641-mandarina.jpg"",""path"":""images/mandarina-1758995193641-mandarina.jpg"",""originalName"":""mandarina.jpg""}]",44,2025-09-27 17:46:35.992021+00,pintura,naturaleza,,false,false
22,paseo,"colección personal, no disponible",oleo pastel sobre madera,"30,5 x 39,5 cm",2023,"[{""name"":""undefined"",""path"":""images/paseo-1758995412961-202307041009103.jpg""},{""name"":""undefined"",""path"":""images/paseo-1758995408705-202307021651582.jpg""},{""name"":""undefined"",""path"":""images/paseo-1758995411423-202307041009102.jpg""}]",45,2025-09-27 17:50:14.779454+00,pintura,naturaleza,,false,false
23,construccion,,acrilico sobre lienzo,104 x 42 cm,2020,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/construccion-1758996153929-104x422020.jpg"",""path"":""images/construccion-1758996153929-104x422020.jpg"",""originalName"":""104 x 42 2020.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/construccion-1758996155937-579A7421.jpg"",""path"":""images/construccion-1758996155937-579A7421.jpg"",""originalName"":""579A7421.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/construccion-1758996159579-579A7427.jpg"",""path"":""images/construccion-1758996159579-579A7427.jpg"",""originalName"":""579A7427.jpg""}]",46,2025-09-27 18:02:47.218306+00,pintura,urbano,,false,false
24,Paisajes vivos,"Pintados en Camarones, y Playa Unión, y Trelew, Chubut
no disponibles",oleo sobre papel / madera,13 x 19 cm,2023,"[{""name"":""undefined"",""path"":""images/paisajes-vivos-1758996521443-202402161900422.jpg""},{""name"":""undefined"",""path"":""images/paisajes-vivos-1758996522289-202402161900512.jpg""},{""name"":""undefined"",""path"":""images/paisajes-vivos-1758996520028-20240128195616.jpg""},{""name"":""undefined"",""path"":""images/paisajes-vivos-1758996523167-playaunionoleo.jpg""},{""name"":""undefined"",""path"":""images/paisajes-vivos-1758996514518-20230228181621.jpg""},{""name"":""undefined"",""path"":""images/paisajes-vivos-1758996516971-20230304190745.jpg""},{""name"":""undefined"",""path"":""images/paisajes-vivos-1758996518783-20230415181558HDR.jpg""}]",47,2025-09-27 18:08:44.434392+00,pintura,naturaleza,,false,false
25,Bordando,,acrilico y lapices sobre papel,24 x 32 cm,2021,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/bordando-1758996898727-20220824131855.jpg"",""path"":""images/bordando-1758996898727-20220824131855.jpg"",""originalName"":""20220824_131855.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/bordando-1758996902127-20220824132048.jpg"",""path"":""images/bordando-1758996902127-20220824132048.jpg"",""originalName"":""20220824_132048.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/bordando-1758996903931-20220824132125.jpg"",""path"":""images/bordando-1758996903931-20220824132125.jpg"",""originalName"":""20220824_132125.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/bordando-1758996905941-20220824151520.jpg"",""path"":""images/bordando-1758996905941-20220824151520.jpg"",""originalName"":""20220824_151520.jpg""}]",50,2025-09-27 18:15:08.021208+00,pintura,personajes,,false,false
26,un lugar al que no hacia falta llegar,"enmarcado de 4 cm de profundidad.
disponible",acrilico sobre madera,"31,5 x 21,5 cm",2025,"[{""name"":""undefined"",""path"":""images/un-lugar-al-que-no-hacia-falta-llegar-1759006434726-IMG20250927115656425HDR.jpg""},{""name"":""undefined"",""path"":""images/un-lugar-al-que-no-hacia-falta-llegar-1759006437253-IMG20250927120812206HDR.jpg""}]",35,2025-09-27 20:53:59.259021+00,pintura,paisajes,200000,true,true
27,Florero y casas,única disponible,monocopia sobre papel,35 x 50,2023,"[{""name"":""IMG_20251021_082508434_HDR~2.jpg"",""path"":""obras/27_IMG_20251021_082508434_HDR_2_1761178706904.jpg""},{""name"":""undefined"",""path"":""images/florero-y-casas-1759006573695-IMG20250923130335235HDR.jpg""},{""name"":""undefined"",""path"":""images/florero-y-casas-1759006571455-IMG20250923130308128HDR.jpg""}]",19,2025-09-27 20:56:16.341461+00,grabado,,30000,true,true
